Seconds_Elapsed,Year
3001.0,2009.0
686.0,2017.0
1314.0,2010.0
1981.0,2016.0
701.0,2011.0
1587.0,2016.0
1148.0,2007.0
403.0,2011.0
1443.0,2008.0
2628.0,2010.0
1126.0,2011.0
1051.0,2007.0
565.0,2020.0
2789.0,2016.0
2847.0,2014.0
59.0,2015.0
3599.0,2018.0
3565.0,2017.0
1864.0,2009.0
2052.0,2019.0
3213.0,2009.0
1107.0,2019.0
1660.0,2018.0
3517.0,2013.0
1598.0,2012.0
356.0,2011.0
1818.0,2020.0
2414.0,2017.0
106.0,2011.0
796.0,2013.0
2676.0,2016.0
3190.0,2021.0
3495.0,2007.0
3592.0,2011.0
1587.0,2009.0
1015.0,2010.0
197.0,2011.0
2154.0,2017.0
3380.0,2008.0
1107.0,2007.0
3254.0,2008.0
197.0,2018.0
1917.0,2010.0
3169.0,2008.0
2391.0,2014.0
2315.0,2016.0
1845.0,2012.0
2143.0,2008.0
1197.0,2014.0
1435.0,2009.0
2025.0,2018.0
2842.0,2010.0
1019.0,2021.0
2876.0,2013.0
2048.0,2011.0
1112.0,2007.0
477.0,2011.0
3024.0,2013.0
1626.0,2019.0
692.0,2008.0
1101.0,2014.0
3591.0,2019.0
553.0,2014.0
3296.0,2011.0
2635.0,2018.0
3599.0,2008.0
1114.0,2017.0
1111.0,2007.0
283.0,2014.0
2864.0,2007.0
1798.0,2008.0
2640.0,2019.0
2779.0,2009.0
2421.0,2020.0
2771.0,2011.0
1301.0,2008.0
2428.0,2019.0
2728.0,2016.0
1839.0,2020.0
592.0,2010.0
3251.0,2016.0
1858.0,2018.0
2134.0,2017.0
1641.0,2013.0
566.0,2017.0
679.0,2016.0
583.0,2010.0
2394.0,2021.0
1184.0,2015.0
1238.0,2018.0
2298.0,2010.0
478.0,2012.0
1330.0,2017.0
62.0,2021.0
964.0,2017.0
1395.0,2009.0
48.0,2018.0
207.0,2009.0
2285.0,2016.0
549.0,2013.0
1615.0,2007.0
2462.0,2012.0
3456.0,2010.0
1187.0,2021.0
2916.0,2009.0
2567.0,2009.0
1531.0,2020.0
3457.0,2010.0
2622.0,2020.0
409.0,2018.0
1562.0,2008.0
2324.0,2014.0
2348.0,2015.0
3594.0,2009.0
3518.0,2011.0
1554.0,2019.0
3357.0,2021.0
1979.0,2009.0
1724.0,2021.0
3400.0,2021.0
2197.0,2020.0
3564.0,2010.0
876.0,2017.0
1734.0,2010.0
490.0,2012.0
2224.0,2021.0
1937.0,2019.0
1907.0,2016.0
108.0,2016.0
1627.0,2012.0
2769.0,2019.0
2755.0,2011.0
307.0,2018.0
191.0,2018.0
3592.0,2017.0
2431.0,2008.0
740.0,2016.0
3199.0,2019.0
1934.0,2007.0
1097.0,2011.0
926.0,2015.0
2370.0,2014.0
1096.0,2013.0
2685.0,2011.0
251.0,2014.0
3498.0,2020.0
3333.0,2015.0
1632.0,2020.0
3095.0,2021.0
19.0,2019.0
1757.0,2007.0
971.0,2008.0
3240.0,2011.0
1595.0,2008.0
3092.0,2012.0
3553.0,2014.0
3530.0,2012.0
2263.0,2016.0
3527.0,2018.0
1314.0,2007.0
950.0,2009.0
28.0,2018.0
2581.0,2021.0
2993.0,2008.0
1094.0,2019.0
1371.0,2014.0
3191.0,2015.0
1476.0,2011.0
2366.0,2007.0
1801.0,2010.0
3352.0,2012.0
2031.0,2011.0
268.0,2021.0
1166.0,2016.0
2606.0,2014.0
2617.0,2020.0
475.0,2019.0
1807.0,2009.0
2396.0,2018.0
2323.0,2017.0
2942.0,2017.0
964.0,2014.0
2385.0,2007.0
2722.0,2013.0
1719.0,2007.0
1141.0,2019.0
642.0,2008.0
2352.0,2019.0
3543.0,2014.0
3015.0,2018.0
1897.0,2015.0
2858.0,2016.0
1551.0,2013.0
3035.0,2016.0
2034.0,2017.0
3206.0,2010.0
2561.0,2020.0
264.0,2007.0
375.0,2012.0
3585.0,2015.0
2797.0,2016.0
2079.0,2008.0
1292.0,2017.0
793.0,2013.0
308.0,2011.0
1798.0,2011.0
213.0,2014.0
2673.0,2017.0
3078.0,2007.0
1852.0,2018.0
2281.0,2017.0
1289.0,2014.0
2397.0,2013.0
3248.0,2007.0
3295.0,2007.0
1428.0,2014.0
2883.0,2011.0
268.0,2010.0
426.0,2007.0
2281.0,2016.0
1633.0,2011.0
865.0,2018.0
3557.0,2017.0
1807.0,2012.0
396.0,2014.0
1045.0,2015.0
1279.0,2013.0
1542.0,2020.0
1628.0,2015.0
2538.0,2011.0
1882.0,2017.0
1456.0,2019.0
2261.0,2010.0
3000.0,2013.0
2025.0,2014.0
2140.0,2017.0
2423.0,2019.0
2969.0,2016.0
2163.0,2021.0
1069.0,2020.0
282.0,2013.0
3511.0,2017.0
2160.0,2020.0
1791.0,2012.0
2845.0,2013.0
1511.0,2017.0
3114.0,2020.0
2340.0,2010.0
1609.0,2018.0
1866.0,2020.0
92.0,2017.0
2348.0,2007.0
1260.0,2008.0
3582.0,2009.0
1229.0,2015.0
1293.0,2021.0
1161.0,2014.0
3442.0,2015.0
3024.0,2019.0
3226.0,2012.0
1275.0,2017.0
2096.0,2008.0
417.0,2018.0
3261.0,2015.0
1284.0,2013.0
1895.0,2015.0
2531.0,2013.0
362.0,2018.0
3152.0,2007.0
1484.0,2013.0
196.0,2014.0
447.0,2010.0
3365.0,2014.0
1849.0,2014.0
3565.0,2016.0
892.0,2017.0
3591.0,2020.0
3481.0,2020.0
3164.0,2009.0
2831.0,2011.0
1852.0,2017.0
1459.0,2020.0
2222.0,2013.0
474.0,2017.0
