player,year,points
Vladimir Tarasenko,2007,0
Vladimir Tarasenko,2008,0
Vladimir Tarasenko,2009,0
Vladimir Tarasenko,2010,0
Vladimir Tarasenko,2011,0
Vladimir Tarasenko,2012,0
Vladimir Tarasenko,2013,0
Vladimir Tarasenko,2014,73
Vladimir Tarasenko,2015,0
Vladimir Tarasenko,2016,75
Vladimir Tarasenko,2017,0
Vladimir Tarasenko,2018,0
Vladimir Tarasenko,2019,0
Vladimir Tarasenko,2020,0
Vladimir Tarasenko,2021,0
Evgeny Kuznetsov,2007,0
Evgeny Kuznetsov,2008,0
Evgeny Kuznetsov,2009,0
Evgeny Kuznetsov,2010,0
Evgeny Kuznetsov,2011,0
Evgeny Kuznetsov,2012,0
Evgeny Kuznetsov,2013,0
Evgeny Kuznetsov,2014,0
Evgeny Kuznetsov,2015,77
Evgeny Kuznetsov,2016,0
Evgeny Kuznetsov,2017,0
Evgeny Kuznetsov,2018,0
Evgeny Kuznetsov,2019,0
Evgeny Kuznetsov,2020,0
Evgeny Kuznetsov,2021,0
Ryan Getzlaf,2007,0
Ryan Getzlaf,2008,91
Ryan Getzlaf,2009,0
Ryan Getzlaf,2010,0
Ryan Getzlaf,2011,0
Ryan Getzlaf,2012,49
Ryan Getzlaf,2013,87
Ryan Getzlaf,2014,0
Ryan Getzlaf,2015,0
Ryan Getzlaf,2016,0
Ryan Getzlaf,2017,0
Ryan Getzlaf,2018,0
Ryan Getzlaf,2019,0
Ryan Getzlaf,2020,0
Ryan Getzlaf,2021,0
John Tavares,2007,0
John Tavares,2008,0
John Tavares,2009,0
John Tavares,2010,0
John Tavares,2011,81
John Tavares,2012,0
John Tavares,2013,0
John Tavares,2014,86
John Tavares,2015,0
John Tavares,2016,0
John Tavares,2017,0
John Tavares,2018,0
John Tavares,2019,0
John Tavares,2020,0
John Tavares,2021,0
Leon Draisaitl,2007,0
Leon Draisaitl,2008,0
Leon Draisaitl,2009,0
Leon Draisaitl,2010,0
Leon Draisaitl,2011,0
Leon Draisaitl,2012,0
Leon Draisaitl,2013,0
Leon Draisaitl,2014,0
Leon Draisaitl,2015,0
Leon Draisaitl,2016,77
Leon Draisaitl,2017,0
Leon Draisaitl,2018,105
Leon Draisaitl,2019,110
Leon Draisaitl,2020,84
Leon Draisaitl,2021,110
Patrik Elias,2007,0
Patrik Elias,2008,0
Patrik Elias,2009,0
Patrik Elias,2010,0
Patrik Elias,2011,78
Patrik Elias,2012,0
Patrik Elias,2013,0
Patrik Elias,2014,0
Patrik Elias,2015,0
Patrik Elias,2016,0
Patrik Elias,2017,0
Patrik Elias,2018,0
Patrik Elias,2019,0
Patrik Elias,2020,0
Patrik Elias,2021,0
Martin St. Louis,2007,0
Martin St. Louis,2008,0
Martin St. Louis,2009,94
Martin St. Louis,2010,99
Martin St. Louis,2011,0
Martin St. Louis,2012,60
Martin St. Louis,2013,0
Martin St. Louis,2014,0
Martin St. Louis,2015,0
Martin St. Louis,2016,0
Martin St. Louis,2017,0
Martin St. Louis,2018,0
Martin St. Louis,2019,0
Martin St. Louis,2020,0
Martin St. Louis,2021,0
Henrik Sedin,2007,0
Henrik Sedin,2008,0
