Rk,Name,Team,Age,Pos,GP,G,A,P
1,Sidney Crosby,PIT,26,F,80,36,68,104
2,Ryan Getzlaf,ANA,28,F,77,31,56,87
3,Claude Giroux,PHI,25,F,82,28,58,86
4,Tyler Seguin,DAL,21,F,80,37,47,84
5,Corey Perry,ANA,28,F,81,43,39,82
6,Phil Kessel,TOR,26,F,82,37,43,80
7,Taylor Hall,EDM,22,F,75,27,53,80
8,Alexander Ovechkin,WSH,28,F,78,51,28,79
9,Joe Pavelski,SJS,29,F,82,41,38,79
10,Jamie Benn,DAL,24,F,81,34,45,79
11,Nicklas B�ckstr�m,WSH,26,F,82,18,61,79
12,Patrick Sharp,CHI,32,F,82,34,44,78
13,Joe Thornton,SJS,34,F,82,11,65,76
14,Erik Karlsson,OTT,23,D,82,20,54,74
15,Evgeni Malkin,PIT,27,F,60,23,49,72
16,Patrick Marleau,SJS,34,F,82,33,37,70
17,Anze Kopitar,LAK,26,F,82,29,41,70
18,Matt Duchene,COL,22,F,71,23,47,70
19,Martin St. Louis,NYR,38,F,81,30,39,69
20,Patrick Kane,CHI,25,F,69,29,40,69
21,Blake Wheeler,WPG,27,F,82,28,41,69
22,Kyle Okposo,NYI,25,F,71,27,42,69
23,David Krejc�,BOS,27,F,80,19,50,69
24,Chris Kunitz,PIT,34,F,78,35,33,68
25,Jonathan Toews,CHI,25,F,76,28,40,68
26,Thomas Vanek,MTL,29,F,78,27,41,68
27,Jarom�r J�gr,NJD,41,F,82,24,43,67
28,John Tavares,NYI,23,F,59,24,42,66
29,Jason Spezza,OTT,30,F,75,23,43,66
30,Jordan Eberle,EDM,23,F,80,28,37,65
31,Gabriel Landeskog,COL,21,F,81,26,39,65
32,Ryan O'Reilly,COL,22,F,80,28,36,64
33,Bryan Little,WPG,26,F,82,23,41,64
34,Ryan Johansen,CBJ,21,F,82,33,30,63
35,Nathan MacKinnon,COL,18,F,82,24,39,63
36,Alexander Steen,STL,29,F,68,33,29,62
37,Patrice Bergeron,BOS,28,F,80,30,32,62
38,Jakub Vor�cek,PHI,24,F,82,23,39,62
39,Jarome Iginla,BOS,36,F,78,30,31,61
40,James van Riemsdyk,TOR,24,F,80,30,31,61
41,James Neal,PIT,26,F,59,27,34,61
42,Eric Staal,CAR,29,F,79,21,40,61
43,Duncan Keith,CHI,30,D,79,6,55,61
44,Max Pacioretty,MTL,25,F,73,39,21,60
45,Marian Hossa,CHI,34,F,72,30,30,60
46,Jason Pominville,MIN,31,F,82,30,30,60
47,Wayne Simmonds,PHI,25,F,82,29,31,60
48,Paul Stastny,COL,28,F,71,25,35,60
49,T.J. Oshie,STL,27,F,79,21,39,60
50,Milan Lucic,BOS,25,F,80,24,35,59
