player,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Joe Thornton,96,86,89,70,77,40,76,65,82,50,36,51,31,20,10
Alex Ovechkin,112,110,109,85,65,56,79,81,71,69,87,89,67,42,90
Sidney Crosby,72,103,109,66,37,56,104,84,85,89,89,100,47,62,84
Patrick Kane,72,70,88,73,66,55,69,64,106,89,76,110,84,66,92
Evgeni Malkin,106,113,77,37,109,33,72,70,58,72,98,72,74,28,42
Anze Kopitar,77,66,81,73,76,42,70,64,74,52,92,60,62,50,67
Ryan Getzlaf,82,91,69,76,57,49,87,70,63,73,61,48,42,17,37
Nicklas Backstrom,69,88,101,65,44,48,79,78,70,86,71,74,54,53,31
Jason Spezza,92,73,57,57,84,5,66,62,63,50,26,27,25,30,25
Patrice Bergeron,7,39,52,57,64,32,62,55,68,53,63,79,56,48,65
