player,year,points
Joe Thornton,2007,96
Joe Thornton,2008,86
Joe Thornton,2009,89
Joe Thornton,2010,70
Joe Thornton,2011,77
Joe Thornton,2012,40
Joe Thornton,2013,76
Joe Thornton,2014,65
Joe Thornton,2015,82
Joe Thornton,2016,50
Joe Thornton,2017,36
Joe Thornton,2018,51
Joe Thornton,2019,31
Joe Thornton,2020,20
Joe Thornton,2021,10
Alex Ovechkin,2007,96
Alex Ovechkin,2008,86
Alex Ovechkin,2009,89
Alex Ovechkin,2010,70
Alex Ovechkin,2011,77
Alex Ovechkin,2012,40
Alex Ovechkin,2013,76
Alex Ovechkin,2014,65
Alex Ovechkin,2015,82
Alex Ovechkin,2016,50
Alex Ovechkin,2017,36
Alex Ovechkin,2018,51
Alex Ovechkin,2019,31
Alex Ovechkin,2020,20
Alex Ovechkin,2021,10
Sidney Crosby,2007,96
Sidney Crosby,2008,86
Sidney Crosby,2009,89
Sidney Crosby,2010,70
Sidney Crosby,2011,77
Sidney Crosby,2012,40
Sidney Crosby,2013,76
Sidney Crosby,2014,65
Sidney Crosby,2015,82
Sidney Crosby,2016,50
Sidney Crosby,2017,36
Sidney Crosby,2018,51
Sidney Crosby,2019,31
Sidney Crosby,2020,20
Sidney Crosby,2021,10
Patrick Kane,2007,96
Patrick Kane,2008,86
Patrick Kane,2009,89
Patrick Kane,2010,70
Patrick Kane,2011,77
Patrick Kane,2012,40
Patrick Kane,2013,76
Patrick Kane,2014,65
Patrick Kane,2015,82
Patrick Kane,2016,50
Patrick Kane,2017,36
Patrick Kane,2018,51
Patrick Kane,2019,31
Patrick Kane,2020,20
Patrick Kane,2021,10
Evgeni Malkin,2007,96
Evgeni Malkin,2008,86
Evgeni Malkin,2009,89
Evgeni Malkin,2010,70
Evgeni Malkin,2011,77
Evgeni Malkin,2012,40
Evgeni Malkin,2013,76
Evgeni Malkin,2014,65
Evgeni Malkin,2015,82
Evgeni Malkin,2016,50
Evgeni Malkin,2017,36
Evgeni Malkin,2018,51
Evgeni Malkin,2019,31
Evgeni Malkin,2020,20
Evgeni Malkin,2021,10
Anze Kopitar,2007,96
Anze Kopitar,2008,86
Anze Kopitar,2009,89
Anze Kopitar,2010,70
Anze Kopitar,2011,77
Anze Kopitar,2012,40
Anze Kopitar,2013,76
Anze Kopitar,2014,65
Anze Kopitar,2015,82
Anze Kopitar,2016,50
Anze Kopitar,2017,36
Anze Kopitar,2018,51
Anze Kopitar,2019,31
Anze Kopitar,2020,20
Anze Kopitar,2021,10
Ryan Getzlaf,2007,96
Ryan Getzlaf,2008,86
Ryan Getzlaf,2009,89
Ryan Getzlaf,2010,70
Ryan Getzlaf,2011,77
Ryan Getzlaf,2012,40
Ryan Getzlaf,2013,76
Ryan Getzlaf,2014,65
Ryan Getzlaf,2015,82
Ryan Getzlaf,2016,50
Ryan Getzlaf,2017,36
Ryan Getzlaf,2018,51
Ryan Getzlaf,2019,31
Ryan Getzlaf,2020,20
Ryan Getzlaf,2021,10
Nicklas Backstrom,2007,96
Nicklas Backstrom,2008,86
Nicklas Backstrom,2009,89
Nicklas Backstrom,2010,70
Nicklas Backstrom,2011,77
Nicklas Backstrom,2012,40
Nicklas Backstrom,2013,76
Nicklas Backstrom,2014,65
Nicklas Backstrom,2015,82
Nicklas Backstrom,2016,50
Nicklas Backstrom,2017,36
Nicklas Backstrom,2018,51
Nicklas Backstrom,2019,31
Nicklas Backstrom,2020,20
Nicklas Backstrom,2021,10
Jason Spezza,2007,96
Jason Spezza,2008,86
Jason Spezza,2009,89
Jason Spezza,2010,70
Jason Spezza,2011,77
Jason Spezza,2012,40
Jason Spezza,2013,76
Jason Spezza,2014,65
Jason Spezza,2015,82
Jason Spezza,2016,50
Jason Spezza,2017,36
Jason Spezza,2018,51
Jason Spezza,2019,31
Jason Spezza,2020,20
Jason Spezza,2021,10
Patrice Bergeron,2007,96
Patrice Bergeron,2008,86
Patrice Bergeron,2009,89
Patrice Bergeron,2010,70
Patrice Bergeron,2011,77
Patrice Bergeron,2012,40
Patrice Bergeron,2013,76
Patrice Bergeron,2014,65
Patrice Bergeron,2015,82
Patrice Bergeron,2016,50
Patrice Bergeron,2017,36
Patrice Bergeron,2018,51
Patrice Bergeron,2019,31
Patrice Bergeron,2020,20
Patrice Bergeron,2021,10
