name,id,mean_duration,mean_game,total,game_played
JIMMY HAYES,8474625,50.39209726443769,15.350925925925926,1105.2666666666667,72
DANY HEATLEY,8468482,47.44565217391305,12.125,72.75,6
MARIAN GABORIK,8468483,50.78172588832487,16.914975845410627,1167.1333333333334,69
JORI LEHTERA,8474627,40.61692650334076,16.210666666666665,1215.8,75
MICHAEL STONE,8474628,44.54018445322793,20.867901234567903,1690.3,81
SCOTT HARTNELL,8468486,46.03225806451613,17.296969696969697,1331.8666666666666,77
MICHAEL HUTCHINSON,8474636,876.5655172413793,55.74649122807018,2118.366666666667,38
RON HAINSEY,8468493,46.01885098743268,21.096707818930042,1708.8333333333333,81
ANDREW CAMPBELL,8474638,40.04959630911188,17.536868686868686,578.7166666666667,33
CHRIS KUNITZ,8470543,46.63900174114916,18.098873873873874,1339.3166666666666,74
ADAM HENRIQUE,8474641,44.80751964085297,17.74377777777778,1330.7833333333333,75
LANCE BOUMA,8474642,38.45571847507331,14.010042735042735,1092.7833333333333,78
BROOKS ORPIK,8468498,47.99482352941177,21.792521367521367,1699.8166666666666,78
ANTON VOLCHENKOV,8468501,42.342258440046564,13.178260869565216,606.2,46
BRANDON MCMILLAN,8474646,38.265756302521005,10.468103448275862,607.15,58
BRAD BOYES,8468504,48.4097818902842,15.65042735042735,1220.7333333333333,78
STEVE OTT,8468505,37.890048712595686,11.634188034188035,907.4666666666667,78
BRADEN HOLTBY,8474651,990.81640625,57.91073059360731,4227.483333333334,73
JUSTIN WILLIAMS,8468508,49.196028187059575,15.801440329218106,1279.9166666666667,81
NIKLAS KRONWALL,8468509,44.924617196702,23.838124999999998,1907.05,80
NICK SCHULTZ,8468513,40.85120643431635,19.046875,1523.75,80
MATT DONOVAN,8474659,50.41035856573705,17.573611111111113,210.88333333333333,12
DAVID WARSOFSKY,8474660,46.32608695652174,17.758333333333333,71.03333333333333,4
MICHAL JORDAN,8474661,42.62016412661196,15.945175438596491,605.9166666666666,38
TOMAS KOPECKY,8468518,43.08695652173913,12.903645833333334,825.8333333333334,64
DALE WEISE,8474668,40.80636042402827,12.181645569620253,962.35,79
ILYA BRYZGALOV,8468524,898.5909090909091,41.18541666666667,329.48333333333335,8
JARRET STOLL,8468526,44.141184124918674,15.48972602739726,1130.75,73
TJ BRODIE,8474673,47.10111495578624,25.20781893004115,2041.8333333333333,81
GUSTAV NYQUIST,8474679,45.10236653824986,16.65670731707317,1365.85,82
ANTOINE VERMETTE,8468535,44.113930348258705,18.022154471544713,1477.8166666666666,82
DUSTIN TOKARSKI,8474682,899.9701492537314,59.115686274509805,1004.9666666666667,17
DAN ELLIS,8468540,941.5483870967741,60.80833333333333,486.46666666666664,8
MATT CALVERT,8474685,42.71780604133545,15.99375,895.65,56
PAUL MARTIN,8468542,48.37659876835623,23.000675675675677,1702.05,74
GREG PATERYN,8474688,42.880398671096344,12.653921568627451,215.11666666666667,17
MARC-ANDRE FLEURY,8470594,943.9958506224067,59.24557291666667,3791.7166666666667,64
ERIC STAAL,8470595,45.854660347551345,18.848051948051946,1451.3,77
KEVIN POULIN,8474690,975.0,65.0,65.0,1
